ID,Step,Distance,Azimuth,Rotation,TransitTime
2,137,6.538,100.614,166.593,3.013
2,138,6.225,286.4,200.694,3.3
2,139,6.229,94.823,101.097,3.684
2,140,5.132,352.372,259.891,3.72
2,141,5.299,104.63,144.478,3.879
2,142,4.468,310.551,271.874,3.582
2,143,3.691,49.166,20.214,3.979
2,144,2.709,41.273,8.985,3.352
2,145,1.934,48.405,-41.595,3.507
2,146,2.202,118.527,337.852,3.387
2,147,3.056,152.837,94.857,3.45
2,148,2.656,77.279,-12.721,3.234
2,149,2.828,110.065,54.508,3.731
2,150,2.38,78.368,53.466,3.281
2,151,1.544,40.472,-49.528,3.287
2,152,1.832,122.555,320.589,3.771
2,153,2.929,168.843,118.934,3.318
2,154,2.411,68.329,-201.671,3.553
2,155,2.636,246.16,90.166,3.026
2,156,3.485,162.085,259.463,3.492
2,157,3.765,246.607,317.309,3.932
2,158,3.554,271.043,200.994,3.968
2,159,3.341,89.616,-180.384,3.34
2,160,3.487,253.299,345.67,3.076
2,161,3.645,252.975,173.575,3.255
2,162,3.596,94.881,67.532,3.307
3,1,2.46,230.712,135.192,3.983
3,2,2.836,120.318,19.343,3.369
3,3,3.187,119.119,44.814,3.413
3,4,3.073,93.018,91.363,3.967
3,5,1.884,2.712,-87.288,3.821
3,6,2.205,121.311,218.484,3.689
3,7,2.587,237.726,36.616,3.82
3,8,3.679,194.666,46.107,3.266
3,9,4.544,155.021,125.639,3.962
3,10,3.557,38.811,59.381,3.871
3,11,2.503,330.048,60.048,3.2
3,12,2.681,249.013,167.811,3.604
3,13,2.733,104.201,46.649,3.639
3,14,2.337,80.773,-189.227,3.298
3,15,2.538,247.045,204.025,3.286
3,16,1.937,63.337,-26.663,3.759
3,17,2.241,120.215,359.792,3.558
3,18,2.93,138.727,193.618,3.785
3,19,2.459,282.911,359.246,3.946
3,20,2.465,255.833,141.383,3.075
3,21,2.968,130.882,241.801,3.829
3,22,3.544,231.452,144.58,3.504
3,23,3.641,103.62,357.978,3.887
3,24,4.112,121.487,286.069,3.711
3,25,5.194,192.148,95.785,3.215
3,26,5.387,106.619,133.928,3.402
3,27,4.504,326.724,139.289,3.176
3,28,5.45,186.139,96.139,3.613
3,29,5.557,101.249,28.023,3.369
3,30,5.354,83.636,296.244,3.083
3,31,6.152,152.036,-117.964,3.902
3,32,6.262,259.228,266.232,3.81
3,33,5.13,351.442,76.886,3.682
3,34,5.161,262.241,282.932,3.055
3,35,4.316,335.001,147.461,3.715
3,36,5.423,185.992,95.992,3.964
3,37,5.551,102.37,191.648,3.925
3,38,5.66,258.715,301.707,3.395
3,39,4.964,308.968,243.953,3.415
3,40,4.625,76.594,136.015,3.32
3,41,4.206,288.821,352.972,3.284
3,42,3.879,282.638,321.99,3.097
3,43,3.215,310.091,220.091,3.427
3,44,3.375,107.732,341.028,3.252
3,45,4.035,137.879,337.366,3.694
3,46,5.093,164.67,93.665,3.084
3,47,4.871,81.358,297.936,3.413
3,48,5.726,149.535,59.535,3.38
3,49,5.815,100.047,336.091,3.403
3,50,6.441,131.511,161.045,3.476
3,51,5.558,325.157,128.534,3.06
3,52,6.443,194.291,104.291,3.758
3,53,6.541,99.924,128.284,3.736
3,54,5.58,326.161,178.359,3.963
3,55,6.616,153.297,63.297,3.336
3,56,6.692,98.602,338.362,3.283
3,57,7.238,126.99,126.99,4.201
3,58,5.977,0,260.866,3.937
3,59,6.274,109.845,164.088,3.694
3,60,5.698,296.681,137.149,3.071
3,61,6.569,162.34,72.34,3.249
3,62,6.641,98.439,282.917,3.05
3,63,7.554,176.064,176.064,4.769
3,64,6.123,359.999,352,3.739
3,65,5.015,9.784,273.665,3.865
3,66,5.266,108.76,135.288,3.835
3,67,4.268,326.552,145.029,3.645
3,68,5.362,181.211,-88.789,3.495
3,69,5.464,258.934,-11.066,3.887
3,70,5.587,257.956,288.951,3.587
3,71,4.697,322.229,157.467,3.808
3,72,5.807,167.722,77.722,3.435
3,73,5.898,100.065,253.352,3.364
3,74,6.815,202.896,112.896,3.239
3,75,6.885,98.113,8.113,3.566
3,76,6.967,98.835,183.491,3.847
3,77,6.955,265.836,123.471,3.257
3,78,7.751,146.782,146.782,4.888
3,79,6.286,360,92.4,3.854
3,80,6.438,257.258,167.258,3.534
3,81,6.525,99.354,228.304,3.354
3,82,7.199,224.814,224.814,4.339
3,83,5.898,0.001,9.694,3.001
3,84,5.013,348.579,286.903,3.541
3,85,4.604,73.398,57.582,3.467
3,86,3.615,20.317,148.47,3.756
3,87,4.401,220.23,95.379,3.135
3,88,4.998,133.736,43.736,3.395
3,89,5.1,101.515,-168.485,3.996
3,90,5.239,256.77,87.247,3.143
3,91,6.168,171.115,-98.885,3.726
3,92,6.269,259.725,90.472,3.732
3,93,7.372,170.877,170.877,4.81
3,94,5.929,359.996,22.106,3.775
3,95,4.899,332.893,191.545,3.283
3,96,5.702,147.539,-122.461,3.962
3,97,5.824,258.227,118.303,3.93
3,98,6.769,146.358,56.358,3.56
3,99,6.853,98.969,179.716,3.696
3,100,6.764,269.941,214.676,3.448
3,101,6.233,63.102,305.148,3.506
3,102,6.79,125.819,91.82,3.779
3,103,5.885,40.189,235.699,3.504
3,104,6.904,166.825,-103.175,3.493
3,105,6.983,261.37,-8.63,3.28
3,106,7.052,261.977,261.977,4.923
3,107,5.575,0.004,156.906,3.691
3,108,6.608,199.333,-70.667,3.795
3,109,6.705,260.221,44.988,3.83
3,110,7.673,210.275,210.275,4.891
3,111,6.206,0.003,201.351,3.711
3,112,7.254,161.854,161.854,4.414
3,113,5.93,359.998,145.013,3.32
3,114,6.77,210.15,308.988,3.045
3,115,6.97,253.72,282.467,3.153
3,116,6.158,327.017,317.607,3.03
3,117,5.263,11.031,156.229,3.793
3,118,6.231,208.82,-61.18,3.185
3,119,6.304,261.284,280.003,3.745
3,120,5.252,337.342,354.603,3.633
3,121,4.223,338.342,14.945,3.834
